EpisodeID,SeasonID,EpisodeTitle,Rating
00001,1,Pilot,7.5
00002,1,Diversity Day,8.3
00003,1,Health Care,7.8
00004,1,The Alliance,8.0
00005,1,Basketball,8.4
00006,1,Hot Girl,7.7
00007,2,The Dundies,8.7
00008,2,Sexual Harassment,8.2
00009,2,Office Olympics,8.4
00010,2,The Fire,8.4
00011,2,Halloween,8.1
00012,2,The Fight,8.1
00013,2,The Client,8.6
00014,2,Performance Review,8.2
00015,2,Email Surveillance,8.4
00016,2,Christmas Party,8.9
00017,2,Booze Cruise,8.6
00018,2,The Injury,9.1
00019,2,The Secret,8.3
00020,2,The Carpet,7.8
00021,2,Boys and Girls,8.1
00022,2,Valentine's Day,8.3
00023,2,Dwight's Speech,8.5
00024,2,Take Your Daughter to Work Day,8.3
00025,2,Michael's Birthday,8.1
00026,2,Drug Testing,8.4
00027,2,Conflict Resolution,8.7
00028,2,Casino Night,9.4
00029,3,Gay Witch Hunt,9.0
00030,3,The Convention,8.2
00031,3,The Coup,8.5
00032,3,Grief Counseling,8.0
00033,3,Initiation,8.1
00034,3,Diwali,7.9
00035,3,Branch Closing,8.6
00036,3,The Merger,8.7
00037,3,The Convict,8.3
00038,3,A Benihana Christmas,8.8
00039,3,Back from Vacation,8.6
00040,3,Traveling Salesmen,8.6
00041,3,The Return,8.8
00042,3,Ben Franklin,8.1
00043,3,Phyllis' Wedding,8.2
00044,3,Business School,8.9
00045,3,Cocktails,8.5
00046,3,The Negotiation,9.0
00047,3,Safety Training,8.8
00048,3,Product Recall,8.7
00049,3,Women's Appreciation,8.8
00050,3,Beach Games,9.2
00051,3,The Job,9.3
00052,4,Fun Run,8.8
00053,4,Dunder Mifflin Infinity,8.3
00054,4,Launch Party,8.4
00055,4,Money,8.7
00056,4,Local Ad,8.8
00057,4,Branch Wars,8.5
00058,4,Survivor Man,8.2
00059,4,The Deposition,8.7
00060,4,Dinner Party,9.5
00061,4,Chair Model,8.0
00062,4,Night Out,8.6
00063,4,Did I Stutter?,8.3
00064,4,Job Fair,7.8
00065,4,Goodbye Toby,9.4
00066,5,Weight Loss,8.8
00067,5,Business Ethics,8.2
00068,5,Baby Shower,8.0
00069,5,Crime Aid,8.1
00070,5,Employee Transfer,8.0
00071,5,Customer Survey,8.5
00072,5,Business Trip,8.2
00073,5,Frame Toby,8.6
00074,5,The Surplus,8.8
00075,5,Moroccan Christmas,8.4
00076,5,The Duel,8.7
00077,5,Prince Family Paper,8.0
00078,5,Stress Relief,9.7
00079,5,Lecture Circuit: Part 1,8.2
00080,5,Lecture Circuit: Part 2,8.2
00081,5,Blood Drive,8.0
00082,5,Golden Ticket,8.7
00083,5,New Boss,8.3
00084,5,Two Weeks,8.4
00085,5,Dream Team,8.3
00086,5,Michael Scott Paper Company,8.7
00087,5,Heavy Competition,8.7
00088,5,Broke,9.3
00089,5,Casual Friday,8.3
00090,5,Cafe Disco,8.8
00091,5,Company Picnic,9.0
00092,6,Gossip,8.8
00093,6,The Meeting,8.1
00094,6,The Promotion,8.0
00095,6,Niagara,9.4
00096,6,Mafia,9.5
00097,6,The Lover,7.6
00098,6,Koi Pond,8.6
00099,6,Double Date,8.2
00100,6,Murder,8.1
00101,6,Shareholder Meeting,8.7
00102,6,Scott's Tots,8.2
00103,6,Secret Santa,8.3
00104,6,The Banker,8.5
00105,6,Sabre,6.8
00106,6,The Manager and the Salesman,7.6
00107,6,The Delivery,8.1
00108,6,St. Patrick's Day,8.4
00109,6,New Leads,8.5
00110,6,Happy Hour,7.7
00111,6,Secretary's Day,7.7
00112,6,Body Language,8.6
00113,6,The Cover-Up,7.8
00114,6,The Chump,7.9
00115,6,Whistleblower,8.1
00116,7,Nepotism,7.7
00117,7,Counseling,8.0
00118,7,Andy's Play,8.4
00119,7,Sex Ed,8.2
00120,7,The Sting,8.2
00121,7,Costume Contest,7.8
00122,7,Christening,7.8
00123,7,Viewing Party,8.2
00124,7,WUPHF.com,7.4
00125,7,China,7.8
00126,7,Classy Christmas,7.7
00127,7,Ultimatum,8.2
00128,7,The Seminar,9.0
00129,7,The Search,8.3
00130,7,PDA,7.6
00131,7,Threat Level Midnight,8.5
00132,7,Todd Packer,8.4
00133,7,Garage Sale,9.4
00134,7,Training Day,7.4
00135,7,Michael's Last Dundies,9.4
00136,7,Goodbye Michael,7.8
00137,7,The Inner Circle,9.0
00138,7,Dwight K. Schrute (Acting) Manager,9.8
00139,7,Search Committee,7.6
00140,8,The List,8.7
00141,8,The Incentive,8.8
00142,8,Lotto,8.1
00143,8,Garden Party,8.1
00144,8,Spooked,7.2
00145,8,Doomsday,8.1
00146,8,Pam's Replacement,7.5
00147,8,Gettysburg,7.6
00148,8,Mrs. California,7.7
00149,8,Christmas Wishes,6.8
00150,8,Trivia,7.7
00151,8,Pool Party,7.9
00152,8,Jury Duty,7.9
00153,8,Special Project,8.0
00154,8,Tallahassee,7.4
00155,8,After Hours,7.7
00156,8,Test the Store,7.8
00157,8,Last Day in Florida,8.1
00158,8,Get the Girl,7.8
00159,8,Welcome Party,7.8
00160,8,Angry Andy,6.5
00161,8,Fundraiser,7.0
00162,8,Turf War,7.0
00163,8,Free Family Portrait Studio,7.0
00164,9,New Guys,7.6
00165,9,Roy's Wedding,7.7
00166,9,Andy's Ancestry,7.6
00167,9,Work Bus,7.1
00168,9,Here Comes Treble,7.3
00169,9,The Boat,7.8
00170,9,The Whale,7.0
00171,9,The Target,7.7
00172,9,Dwight Christmas,7.6
00173,9,Lice,7.8
00174,9,Suit Warehouse,8.4
00175,9,Customer Loyalty,7.6
00176,9,Junior Salesman,7.8
00177,9,Vandalism,7.9
00178,9,Couples Discount,7.5
00179,9,Moving On,7.4
00180,9,The Farm,7.2
00181,9,Promos,8.1
00182,9,Stairmageddon,7.5
00183,9,Paper Airplane,8.0
00184,9,Livin' the Dream,8.0
00185,9,A.A.R.M.,8.0
00186,9,Finale,9.1